epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,2287.4,1.05629,0.78258,1.36507,0.96908,0.99239,0.99342,0.80087,0.79563,0.34755,1.07101,0.0003994,0.0003994,0.0003994
93,2331.16,1.03786,0.76091,1.35785,0.97633,0.99198,0.9926,0.80261,0.76326,0.34004,1.0461,0.0003928,0.0003928,0.0003928
94,2375.71,1.00466,0.76406,1.34332,0.97966,0.96928,0.99299,0.79963,0.77178,0.36505,1.05148,0.0003862,0.0003862,0.0003862
95,2419.3,1.02303,0.77025,1.35787,0.97247,0.98639,0.99145,0.79289,0.77708,0.35437,1.05984,0.0003796,0.0003796,0.0003796
96,2463.84,1.02937,0.78339,1.37181,0.98753,0.98679,0.99402,0.79552,0.77667,0.34011,1.0694,0.000373,0.000373,0.000373
97,2507.67,1.02099,0.76023,1.36556,0.98818,0.98344,0.99228,0.80824,0.73587,0.33774,1.0572,0.0003664,0.0003664,0.0003664
98,2551.5,1.03745,0.77512,1.36315,0.98819,0.99193,0.99477,0.79584,0.804,0.33932,1.0713,0.0003598,0.0003598,0.0003598
99,2595.46,1.01711,0.78644,1.35282,0.98159,0.97716,0.99443,0.80394,0.79154,0.34712,1.07049,0.0003532,0.0003532,0.0003532
100,2639.23,1.01243,0.76768,1.35703,0.97618,0.98466,0.99357,0.80737,0.74357,0.33126,1.05218,0.0003466,0.0003466,0.0003466
101,2683.02,1.01313,0.7675,1.35384,0.96656,0.98251,0.98972,0.78523,0.80437,0.3427,1.07277,0.00034,0.00034,0.00034
102,2726.58,1.0133,0.75276,1.34415,0.97438,0.97989,0.98997,0.79726,0.75346,0.34233,1.06438,0.0003334,0.0003334,0.0003334
103,2770.3,1.04157,0.78218,1.35349,0.98539,0.98434,0.99283,0.8119,0.72553,0.33765,1.0513,0.0003268,0.0003268,0.0003268
104,2814.16,0.99112,0.74634,1.33064,0.97846,0.98267,0.99252,0.81267,0.74901,0.33736,1.05843,0.0003202,0.0003202,0.0003202
105,2857.6,1.02197,0.75986,1.36511,0.98687,0.98223,0.99451,0.8133,0.73845,0.33951,1.05222,0.0003136,0.0003136,0.0003136
106,2901.06,0.97984,0.72893,1.34086,0.98563,0.99239,0.99476,0.80911,0.75367,0.33036,1.05958,0.000307,0.000307,0.000307
107,2944.68,1.00435,0.73415,1.34463,0.9709,0.99134,0.99278,0.81686,0.75103,0.33581,1.05505,0.0003004,0.0003004,0.0003004
108,2989.53,0.98519,0.72941,1.32415,0.97129,0.98892,0.98943,0.82127,0.69615,0.33098,1.01363,0.0002938,0.0002938,0.0002938
109,3034.58,0.99722,0.75012,1.33464,0.98099,0.98672,0.99182,0.81043,0.75616,0.32661,1.03556,0.0002872,0.0002872,0.0002872
110,3077.82,0.97169,0.71843,1.32309,0.97767,0.98688,0.98694,0.78123,0.85382,0.35002,1.08594,0.0002806,0.0002806,0.0002806
111,3121.5,0.99287,0.74611,1.33335,0.97637,0.99224,0.99088,0.80668,0.77052,0.32589,1.03642,0.000274,0.000274,0.000274
112,3165.28,0.9979,0.76268,1.3358,0.98475,0.98985,0.99471,0.8165,0.70262,0.30674,1.00752,0.0002674,0.0002674,0.0002674
113,3208.63,0.96907,0.74141,1.31166,0.9891,0.99157,0.99442,0.79836,0.82532,0.32833,1.06277,0.0002608,0.0002608,0.0002608
114,3252.1,0.96072,0.72316,1.30432,0.97899,0.98851,0.99143,0.79701,0.79024,0.33503,1.04816,0.0002542,0.0002542,0.0002542
115,3295.21,0.97778,0.73396,1.31588,0.97865,0.99492,0.99137,0.81776,0.75123,0.31383,1.02096,0.0002476,0.0002476,0.0002476
116,3338.65,0.97335,0.71711,1.31497,0.98726,0.99483,0.98944,0.81298,0.73927,0.30713,1.02422,0.000241,0.000241,0.000241
117,3381.94,0.97818,0.68968,1.32879,0.97978,0.98477,0.99061,0.82042,0.69791,0.30759,1.01806,0.0002344,0.0002344,0.0002344
118,3425.48,0.98194,0.71883,1.32987,0.97906,0.98828,0.98907,0.79546,0.78977,0.32784,1.04922,0.0002278,0.0002278,0.0002278
119,3468.95,0.97961,0.70611,1.31616,0.98068,0.99128,0.98992,0.81858,0.693,0.30749,1.01783,0.0002212,0.0002212,0.0002212
120,3513.17,0.96021,0.70452,1.29743,0.98073,0.98495,0.98983,0.81454,0.72122,0.31613,1.02069,0.0002146,0.0002146,0.0002146
121,3556.84,0.97855,0.70888,1.31101,0.98838,0.98417,0.99259,0.81169,0.75626,0.31922,1.04222,0.000208,0.000208,0.000208
122,3600.51,0.96,0.70552,1.30316,0.99212,0.98383,0.98995,0.82987,0.67721,0.31135,1.0127,0.0002014,0.0002014,0.0002014
123,3645.81,0.97013,0.71674,1.30643,0.97878,0.99035,0.98941,0.81525,0.71639,0.3161,1.0149,0.0001948,0.0001948,0.0001948
124,3689.32,0.95038,0.67707,1.29641,0.98155,0.98597,0.99477,0.83169,0.66882,0.30191,0.99843,0.0001882,0.0001882,0.0001882
125,3734.41,0.97964,0.72665,1.3284,0.97245,0.98426,0.99079,0.82791,0.67939,0.30722,1.01206,0.0001816,0.0001816,0.0001816
126,3777.68,0.94333,0.69455,1.28911,0.98109,0.98214,0.99472,0.83498,0.69397,0.30377,1.00948,0.000175,0.000175,0.000175
127,3823.09,0.95669,0.69709,1.29421,0.96479,0.99051,0.99256,0.82947,0.69173,0.30766,1.0106,0.0001684,0.0001684,0.0001684
128,3866.46,0.96857,0.71168,1.30787,0.99526,0.98543,0.99497,0.82222,0.72975,0.30176,1.02289,0.0001618,0.0001618,0.0001618
